8,8,0,[0]
8,6,0,[0]
8,11,0,[0]
8,24,1,[0]
8,18,0,[0]
8,15,0,[0]
8,13,0,[0]
8,17,0,[0]
8,0,0,[0]
"('n_atak', ['7', '10', '9', '3', '1', '23', '20', '21', '12', '22', '16', '19', '2', '4', '14', '8', '6', '11', '24', '18', '15', '13', '17', '0'])"
9,1,0,[0]
9,14,0,[0]
9,11,0,[0]
9,23,1,[0]
9,9,0,[0]
9,3,0,[0]
9,24,1,[0]
9,4,0,[0]
9,13,0,[0]
9,7,0,[0]
9,6,0,[0]
9,10,0,[0]
9,19,0,[0]
9,17,0,[0]
9,18,0,[0]
9,22,1,[0]
9,21,1,[0]
9,12,0,[0]
9,20,1,[0]
9,15,0,[0]
9,0,0,[0]
9,8,0,[0]
9,2,0,[0]
9,16,0,[0]
"('n_atak', ['1', '14', '11', '23', '9', '3', '24', '4', '13', '7', '6', '10', '19', '17', '18', '22', '21', '12', '20', '15', '0', '8', '2', '16'])"
10,21,1,[0]
10,20,1,[0]
10,18,0,[0]
10,4,0,[0]
10,2,0,[0]
10,1,0,[0]
10,22,1,[0]
10,15,0,[0]
10,7,0,[0]
10,24,1,[0]
10,19,0,[0]
10,14,0,[0]
10,8,0,[0]
10,12,0,[0]
10,11,0,[0]
10,16,0,[0]
10,10,0,[0]
10,9,0,[0]
10,6,0,[0]
10,3,0,[0]
10,0,0,[0]
10,17,0,[0]
10,13,0,[0]
10,23,1,[0]
"('n_atak', ['21', '20', '18', '4', '2', '1', '22', '15', '7', '24', '19', '14', '8', '12', '11', '16', '10', '9', '6', '3', '0', '17', '13', '23'])"
2,19,0,[0]
2,17,0,[0]
2,15,0,[0]
2,16,0,[0]
2,9,0,[0]
2,20,0,[0]
2,11,0,[0]
2,12,0,[0]
2,6,0,[0]
2,1,0,[0]
2,10,0,[0]
2,7,0,[0]
2,21,0,[0]
2,24,0,[0]
2,14,0,[0]
2,0,0,[0]
2,13,0,[0]
2,23,0,[0]
2,4,0,[0]
2,22,0,[0]
2,3,0,[0]
2,8,0,[0]
2,2,0,[0]
2,5,0,[0]
2,18,0,[0]
"('n_atak', ['19', '17', '15', '16', '9', '20', '11', '12', '6', '1', '10', '7', '21', '24', '14', '0', '13', '23', '4', '22', '3', '8', '2', '5', '18'])"
3,15,0,[0]
3,13,0,[0]
3,11,0,[0]
3,5,0,[1]
3,17,0,[0]
3,1,0,[0]
3,18,0,[0]
3,7,0,[0]
3,10,0,[0]
3,3,0,[0]
3,9,0,[0]
3,8,0,[0]
3,6,0,[0]
3,14,0,[0]
3,12,0,[0]
3,19,0,[0]
3,22,0,[0]
3,24,0,[0]
3,21,0,[0]
3,0,0,[0]
3,20,0,[0]
3,23,0,[0]
3,16,0,[0]
3,2,0,[0]
3,4,0,[0]
"('n_atak', ['15', '13', '11', '17', '1', '18', '7', '10', '3', '9', '8', '6', '14', '12', '19', '22', '24', '21', '0', '20', '23', '16', '2', '4'])","('atak', ['5'])"
4,10,0,[0]
4,15,0,[0]
4,6,0,[0]
4,8,0,[0]
4,24,0,[0]
4,9,0,[0]
4,19,0,[0]
4,4,0,[0]
4,20,0,[0]
4,0,0,[0]
4,11,0,[0]
4,1,0,[0]
4,22,0,[0]
4,3,0,[0]
4,16,0,[0]
4,14,0,[0]
4,7,0,[0]
4,18,0,[0]
4,12,0,[0]
4,23,0,[0]
4,21,0,[0]
4,13,0,[0]
4,17,0,[0]
4,2,0,[0]
"('n_atak', ['10', '15', '6', '8', '24', '9', '19', '4', '20', '0', '11', '1', '22', '3', '16', '14', '7', '18', '12', '23', '21', '13', '17', '2'])"
5,2,0,[0]
5,10,0,[0]
5,7,0,[0]
5,20,0,[0]
5,4,0,[0]
5,13,0,[0]
5,0,0,[0]
5,18,0,[0]
5,24,0,[0]
5,3,0,[0]
5,15,0,[0]
5,8,0,[0]
5,22,0,[0]
5,19,0,[0]
5,17,0,[0]
5,11,0,[0]
5,12,0,[0]
5,6,0,[0]
5,23,0,[0]
5,1,0,[0]
5,9,0,[0]
5,16,0,[0]
5,21,0,[0]
5,14,0,[0]
"('n_atak', ['2', '10', '7', '20', '4', '13', '0', '18', '24', '3', '15', '8', '22', '19', '17', '11', '12', '6', '23', '1', '9', '16', '21', '14'])"
6,24,1,[0]
6,0,0,[0]
6,3,0,[0]
6,22,1,[0]
6,20,1,[0]
6,21,1,[0]
6,23,1,[0]
6,16,0,[0]
6,10,0,[0]
6,18,0,[0]
6,19,0,[0]
6,1,0,[0]
6,11,0,[0]
6,7,0,[0]
6,12,0,[0]
6,8,0,[0]
6,6,0,[0]
6,4,0,[0]
6,14,0,[0]
6,17,0,[0]
6,15,0,[0]
6,2,0,[0]
6,13,0,[0]
6,9,0,[0]
"('n_atak', ['24', '0', '3', '22', '20', '21', '23', '16', '10', '18', '19', '1', '11', '7', '12', '8', '6', '4', '14', '17', '15', '2', '13', '9'])"
7,18,0,[0]
7,9,0,[0]
7,16,0,[0]
7,19,0,[0]
7,22,1,[0]
7,17,0,[0]
7,15,0,[0]
7,11,0,[0]
7,4,0,[0]
7,7,0,[0]
7,12,0,[0]
7,14,0,[0]
7,0,0,[0]
7,3,0,[0]
7,6,0,[0]
7,13,0,[0]
7,20,1,[0]
7,23,1,[0]
7,1,0,[0]
7,10,0,[0]
7,8,0,[0]
7,2,0,[0]
7,24,1,[0]
7,21,1,[0]
"('n_atak', ['18', '9', '16', '19', '22', '17', '15', '11', '4', '7', '12', '14', '0', '3', '6', '13', '20', '23', '1', '10', '8', '2', '24', '21'])"
8,7,0,[0]
8,10,0,[0]
8,9,0,[0]
8,3,0,[0]
8,1,0,[0]
8,23,1,[0]
8,20,1,[0]
8,21,1,[0]
8,12,0,[0]
8,22,1,[0]
8,16,0,[0]
8,19,0,[0]
8,2,0,[0]
8,4,0,[0]
8,14,0,[0]
8,8,0,[0]
8,6,0,[0]
8,11,0,[0]
8,24,1,[0]
8,18,0,[0]
8,15,0,[0]
8,13,0,[0]
8,17,0,[0]
8,0,0,[0]
"('n_atak', ['7', '10', '9', '3', '1', '23', '20', '21', '12', '22', '16', '19', '2', '4', '14', '8', '6', '11', '24', '18', '15', '13', '17', '0'])"
9,1,0,[0]
9,14,0,[0]
9,11,0,[0]
9,23,1,[0]
9,9,0,[0]
9,3,0,[0]
9,24,1,[0]
9,4,0,[0]
9,13,0,[0]
9,7,0,[0]
9,6,0,[0]
9,10,0,[0]
9,19,0,[0]
9,17,0,[0]
9,18,0,[0]
9,22,1,[0]
9,21,1,[0]
9,12,0,[0]
9,20,1,[0]
9,15,0,[0]
9,0,0,[0]
9,8,0,[0]
9,2,0,[0]
9,16,0,[0]
"('n_atak', ['1', '14', '11', '23', '9', '3', '24', '4', '13', '7', '6', '10', '19', '17', '18', '22', '21', '12', '20', '15', '0', '8', '2', '16'])"
10,21,1,[0]
10,20,1,[0]
10,18,0,[0]
10,4,0,[0]
10,2,0,[0]
10,1,0,[0]
10,22,1,[0]
10,15,0,[0]
10,7,0,[0]
10,24,1,[0]
10,19,0,[0]
10,14,0,[0]
10,8,0,[0]
10,12,0,[0]
10,11,0,[0]
10,16,0,[0]
10,10,0,[0]
10,9,0,[0]
10,6,0,[0]
10,3,0,[0]
10,0,0,[0]
10,17,0,[0]
10,13,0,[0]
10,23,1,[0]
"('n_atak', ['21', '20', '18', '4', '2', '1', '22', '15', '7', '24', '19', '14', '8', '12', '11', '16', '10', '9', '6', '3', '0', '17', '13', '23'])"
11,18,0,[0]
11,22,1,[0]
11,21,1,[0]
11,9,0,[0]
11,15,0,[0]
11,24,1,[0]
11,10,0,[0]
11,12,0,[0]
11,8,0,[0]
11,13,0,[0]
11,6,0,[0]
11,1,0,[0]
11,23,1,[0]
11,17,0,[0]
11,11,0,[0]
11,20,1,[0]
11,2,0,[0]
11,3,0,[0]
11,19,0,[0]
11,7,0,[0]
11,4,0,[0]
11,0,0,[0]
11,14,0,[0]
11,16,0,[0]
"('n_atak', ['18', '22', '21', '9', '15', '24', '10', '12', '8', '13', '6', '1', '23', '17', '11', '20', '2', '3', '19', '7', '4', '0', '14', '16'])"
2,19,0,[0]
2,17,0,[0]
2,15,0,[0]
2,16,0,[0]
2,9,0,[0]
2,20,0,[0]
2,11,0,[0]
2,12,0,[0]
2,6,0,[0]
2,1,0,[0]
2,10,0,[0]
2,7,0,[0]
2,21,0,[0]
2,24,0,[0]
2,14,0,[0]
2,0,0,[0]
2,13,0,[0]
2,23,0,[0]
2,4,0,[0]
2,22,0,[0]
2,3,0,[0]
2,8,0,[0]
2,2,0,[0]
2,5,0,[0]
2,18,0,[0]
"('n_atak', ['19', '17', '15', '16', '9', '20', '11', '12', '6', '1', '10', '7', '21', '24', '14', '0', '13', '23', '4', '22', '3', '8', '2', '5', '18'])"
3,15,0,[0]
3,13,0,[0]
3,11,0,[0]
3,5,0,[1]
3,17,0,[0]
3,1,0,[0]
3,18,0,[0]
3,7,0,[0]
3,10,0,[0]
3,3,0,[0]
3,9,0,[0]
3,8,0,[0]
3,6,0,[0]
3,14,0,[0]
3,12,0,[0]
3,19,0,[0]
3,22,0,[0]
3,24,0,[0]
3,21,0,[0]
3,0,0,[0]
3,20,0,[0]
3,23,0,[0]
3,16,0,[0]
3,2,0,[0]
3,4,0,[0]
"('n_atak', ['15', '13', '11', '17', '1', '18', '7', '10', '3', '9', '8', '6', '14', '12', '19', '22', '24', '21', '0', '20', '23', '16', '2', '4'])","('atak', ['5'])"
4,10,0,[0]
4,15,0,[0]
4,6,0,[0]
4,8,0,[0]
4,24,0,[0]
4,9,0,[0]
4,19,0,[0]
4,4,0,[0]
4,20,0,[0]
4,0,0,[0]
4,11,0,[0]
4,1,0,[0]
4,22,0,[0]
4,3,0,[0]
4,16,0,[0]
4,14,0,[0]
4,7,0,[0]
4,18,0,[0]
4,12,0,[0]
4,23,0,[0]
4,21,0,[0]
4,13,0,[0]
4,17,0,[0]
4,2,0,[0]
"('n_atak', ['10', '15', '6', '8', '24', '9', '19', '4', '20', '0', '11', '1', '22', '3', '16', '14', '7', '18', '12', '23', '21', '13', '17', '2'])"
5,2,0,[0]
5,10,0,[0]
5,7,0,[0]
5,20,0,[0]
5,4,0,[0]
5,13,0,[0]
5,0,0,[0]
5,18,0,[0]
5,24,0,[0]
5,3,0,[0]
5,15,0,[0]
5,8,0,[0]
5,22,0,[0]
5,19,0,[0]
5,17,0,[0]
5,11,0,[0]
5,12,0,[0]
5,6,0,[0]
5,23,0,[0]
5,1,0,[0]
5,9,0,[0]
5,16,0,[0]
5,21,0,[0]
5,14,0,[0]
"('n_atak', ['2', '10', '7', '20', '4', '13', '0', '18', '24', '3', '15', '8', '22', '19', '17', '11', '12', '6', '23', '1', '9', '16', '21', '14'])"
6,24,1,[0]
6,0,0,[0]
6,3,0,[0]
6,22,1,[0]
6,20,1,[0]
6,21,1,[0]
6,23,1,[0]
6,16,0,[0]
6,10,0,[0]
6,18,0,[0]
6,19,0,[0]
6,1,0,[0]
6,11,0,[0]
6,7,0,[0]
6,12,0,[0]
6,8,0,[0]
6,6,0,[0]
6,4,0,[0]
6,14,0,[0]
6,17,0,[0]
6,15,0,[0]
6,2,0,[0]
6,13,0,[0]
6,9,0,[0]
"('n_atak', ['24', '0', '3', '22', '20', '21', '23', '16', '10', '18', '19', '1', '11', '7', '12', '8', '6', '4', '14', '17', '15', '2', '13', '9'])"
7,18,0,[0]
7,9,0,[0]
7,16,0,[0]
7,19,0,[0]
7,22,1,[0]
7,17,0,[0]
7,15,0,[0]
7,11,0,[0]
7,4,0,[0]
7,7,0,[0]
7,12,0,[0]
7,14,0,[0]
7,0,0,[0]
7,3,0,[0]
7,6,0,[0]
7,13,0,[0]
7,20,1,[0]
7,23,1,[0]
7,1,0,[0]
7,10,0,[0]
7,8,0,[0]
7,2,0,[0]
7,24,1,[0]
7,21,1,[0]
"('n_atak', ['18', '9', '16', '19', '22', '17', '15', '11', '4', '7', '12', '14', '0', '3', '6', '13', '20', '23', '1', '10', '8', '2', '24', '21'])"
8,7,0,[0]
8,10,0,[0]
8,9,0,[0]
8,3,0,[0]
8,1,0,[0]
8,23,1,[0]
8,20,1,[0]
8,21,1,[0]
8,12,0,[0]
8,22,1,[0]
8,16,0,[0]
8,19,0,[0]
8,2,0,[0]
8,4,0,[0]
8,14,0,[0]
8,8,0,[0]
8,6,0,[0]
8,11,0,[0]
8,24,1,[0]
8,18,0,[0]
8,15,0,[0]
8,13,0,[0]
8,17,0,[0]
8,0,0,[0]
"('n_atak', ['7', '10', '9', '3', '1', '23', '20', '21', '12', '22', '16', '19', '2', '4', '14', '8', '6', '11', '24', '18', '15', '13', '17', '0'])"
9,1,0,[0]
9,14,0,[0]
9,11,0,[0]
9,23,1,[0]
9,9,0,[0]
9,3,0,[0]
9,24,1,[0]
9,4,0,[0]
9,13,0,[0]
9,7,0,[0]
9,6,0,[0]
9,10,0,[0]
9,19,0,[0]
9,17,0,[0]
9,18,0,[0]
9,22,1,[0]
9,21,1,[0]
9,12,0,[0]
9,20,1,[0]
9,15,0,[0]
9,0,0,[0]
9,8,0,[0]
9,2,0,[0]
9,16,0,[0]
"('n_atak', ['1', '14', '11', '23', '9', '3', '24', '4', '13', '7', '6', '10', '19', '17', '18', '22', '21', '12', '20', '15', '0', '8', '2', '16'])"
10,21,1,[0]
10,20,1,[0]
10,18,0,[0]
10,4,0,[0]
10,2,0,[0]
10,1,0,[0]
10,22,1,[0]
10,15,0,[0]
10,7,0,[0]
10,24,1,[0]
10,19,0,[0]
10,14,0,[0]
10,8,0,[0]
10,12,0,[0]
10,11,0,[0]
10,16,0,[0]
10,10,0,[0]
10,9,0,[0]
10,6,0,[0]
10,3,0,[0]
10,0,0,[0]
10,17,0,[0]
10,13,0,[0]
10,23,1,[0]
"('n_atak', ['21', '20', '18', '4', '2', '1', '22', '15', '7', '24', '19', '14', '8', '12', '11', '16', '10', '9', '6', '3', '0', '17', '13', '23'])"
11,18,0,[0]
11,22,1,[0]
11,21,1,[0]
11,9,0,[0]
11,15,0,[0]
11,24,1,[0]
11,10,0,[0]
11,12,0,[0]
11,8,0,[0]
11,13,0,[0]
11,6,0,[0]
11,1,0,[0]
11,23,1,[0]
11,17,0,[0]
11,11,0,[0]
11,20,1,[0]
11,2,0,[0]
11,3,0,[0]
11,19,0,[0]
11,7,0,[0]
11,4,0,[0]
11,0,0,[0]
11,14,0,[0]
11,16,0,[0]
"('n_atak', ['18', '22', '21', '9', '15', '24', '10', '12', '8', '13', '6', '1', '23', '17', '11', '20', '2', '3', '19', '7', '4', '0', '14', '16'])"
12,23,1,[0]
12,1,0,[0]
12,8,0,[0]
12,18,0,[0]
12,19,0,[0]
12,10,0,[0]
12,16,0,[0]
12,6,0,[0]
12,21,1,[0]
12,20,1,[0]
12,11,0,[0]
12,9,0,[0]
12,15,0,[0]
12,7,0,[0]
12,17,0,[0]
12,2,0,[0]
12,13,0,[0]
12,22,1,[0]
12,24,1,[0]
12,0,0,[0]
12,12,0,[0]
12,3,0,[0]
12,14,0,[0]
12,4,0,[0]
"('n_atak', ['23', '1', '8', '18', '19', '10', '16', '6', '21', '20', '11', '9', '15', '7', '17', '2', '13', '22', '24', '0', '12', '3', '14', '4'])"
2,19,0,[0]
2,17,0,[0]
2,15,0,[0]
2,16,0,[0]
2,9,0,[0]
2,20,0,[0]
2,11,0,[0]
2,12,0,[0]
2,6,0,[0]
2,1,0,[0]
2,10,0,[0]
2,7,0,[0]
2,21,0,[0]
2,24,0,[0]
2,14,0,[0]
2,0,0,[0]
2,13,0,[0]
2,23,0,[0]
2,4,0,[0]
2,22,0,[0]
2,3,0,[0]
2,8,0,[0]
2,2,0,[0]
2,5,0,[0]
2,18,0,[0]
"('n_atak', ['19', '17', '15', '16', '9', '20', '11', '12', '6', '1', '10', '7', '21', '24', '14', '0', '13', '23', '4', '22', '3', '8', '2', '5', '18'])"
3,15,0,[0]
3,13,0,[0]
3,11,0,[0]
3,5,0,[1]
3,17,0,[0]
3,1,0,[0]
3,18,0,[0]
3,7,0,[0]
3,10,0,[0]
3,3,0,[0]
3,9,0,[0]
3,8,0,[0]
3,6,0,[0]
3,14,0,[0]
3,12,0,[0]
3,19,0,[0]
3,22,0,[0]
3,24,0,[0]
3,21,0,[0]
3,0,0,[0]
3,20,0,[0]
3,23,0,[0]
3,16,0,[0]
3,2,0,[0]
3,4,0,[0]
"('n_atak', ['15', '13', '11', '17', '1', '18', '7', '10', '3', '9', '8', '6', '14', '12', '19', '22', '24', '21', '0', '20', '23', '16', '2', '4'])","('atak', ['5'])"
4,10,0,[0]
4,15,0,[0]
4,6,0,[0]
4,8,0,[0]
4,24,0,[0]
4,9,0,[0]
4,19,0,[0]
4,4,0,[0]
4,20,0,[0]
4,0,0,[0]
4,11,0,[0]
4,1,0,[0]
4,22,0,[0]
4,3,0,[0]
4,16,0,[0]
4,14,0,[0]
4,7,0,[0]
4,18,0,[0]
4,12,0,[0]
4,23,0,[0]
4,21,0,[0]
4,13,0,[0]
4,17,0,[0]
4,2,0,[0]
"('n_atak', ['10', '15', '6', '8', '24', '9', '19', '4', '20', '0', '11', '1', '22', '3', '16', '14', '7', '18', '12', '23', '21', '13', '17', '2'])"
5,2,0,[0]
5,10,0,[0]
5,7,0,[0]
5,20,0,[0]
5,4,0,[0]
5,13,0,[0]
5,0,0,[0]
5,18,0,[0]
5,24,0,[0]
5,3,0,[0]
5,15,0,[0]
5,8,0,[0]
5,22,0,[0]
5,19,0,[0]
5,17,0,[0]
5,11,0,[0]
5,12,0,[0]
5,6,0,[0]
5,23,0,[0]
5,1,0,[0]
5,9,0,[0]
5,16,0,[0]
5,21,0,[0]
5,14,0,[0]
"('n_atak', ['2', '10', '7', '20', '4', '13', '0', '18', '24', '3', '15', '8', '22', '19', '17', '11', '12', '6', '23', '1', '9', '16', '21', '14'])"
6,24,1,[0]
6,0,0,[0]
6,3,0,[0]
6,22,1,[0]
6,20,1,[0]
6,21,1,[0]
6,23,1,[0]
6,16,0,[0]
6,10,0,[0]
6,18,0,[0]
6,19,0,[0]
6,1,0,[0]
6,11,0,[0]
6,7,0,[0]
6,12,0,[0]
6,8,0,[0]
6,6,0,[0]
6,4,0,[0]
6,14,0,[0]
6,17,0,[0]
6,15,0,[0]
6,2,0,[0]
6,13,0,[0]
6,9,0,[0]
"('n_atak', ['24', '0', '3', '22', '20', '21', '23', '16', '10', '18', '19', '1', '11', '7', '12', '8', '6', '4', '14', '17', '15', '2', '13', '9'])"
7,18,0,[0]
7,9,0,[0]
7,16,0,[0]
7,19,0,[0]
7,22,1,[0]
7,17,0,[0]
7,15,0,[0]
7,11,0,[0]
7,4,0,[0]
7,7,0,[0]
7,12,0,[0]
7,14,0,[0]
7,0,0,[0]
7,3,0,[0]
7,6,0,[0]
7,13,0,[0]
7,20,1,[0]
7,23,1,[0]
7,1,0,[0]
7,10,0,[0]
7,8,0,[0]
7,2,0,[0]
7,24,1,[0]
7,21,1,[0]
"('n_atak', ['18', '9', '16', '19', '22', '17', '15', '11', '4', '7', '12', '14', '0', '3', '6', '13', '20', '23', '1', '10', '8', '2', '24', '21'])"
8,7,0,[0]
8,10,0,[0]
8,9,0,[0]
8,3,0,[0]
8,1,0,[0]
8,23,1,[0]
8,20,1,[0]
8,21,1,[0]
8,12,0,[0]
8,22,1,[0]
8,16,0,[0]
8,19,0,[0]
8,2,0,[0]
8,4,0,[0]
8,14,0,[0]
8,8,0,[0]
8,6,0,[0]
8,11,0,[0]
8,24,1,[0]
8,18,0,[0]
8,15,0,[0]
8,13,0,[0]
8,17,0,[0]
8,0,0,[0]
"('n_atak', ['7', '10', '9', '3', '1', '23', '20', '21', '12', '22', '16', '19', '2', '4', '14', '8', '6', '11', '24', '18', '15', '13', '17', '0'])"
9,1,0,[0]
9,14,0,[0]
9,11,0,[0]
9,23,1,[0]
9,9,0,[0]
9,3,0,[0]
9,24,1,[0]
9,4,0,[0]
9,13,0,[0]
9,7,0,[0]
9,6,0,[0]
9,10,0,[0]
9,19,0,[0]
9,17,0,[0]
9,18,0,[0]
9,22,1,[0]
9,21,1,[0]
9,12,0,[0]
9,20,1,[0]
9,15,0,[0]
9,0,0,[0]
9,8,0,[0]
9,2,0,[0]
9,16,0,[0]
"('n_atak', ['1', '14', '11', '23', '9', '3', '24', '4', '13', '7', '6', '10', '19', '17', '18', '22', '21', '12', '20', '15', '0', '8', '2', '16'])"
10,21,1,[0]
10,20,1,[0]
10,18,0,[0]
10,4,0,[0]
10,2,0,[0]
10,1,0,[0]
10,22,1,[0]
10,15,0,[0]
10,7,0,[0]
10,24,1,[0]
10,19,0,[0]
10,14,0,[0]
10,8,0,[0]
10,12,0,[0]
10,11,0,[0]
10,16,0,[0]
10,10,0,[0]
10,9,0,[0]
10,6,0,[0]
10,3,0,[0]
10,0,0,[0]
10,17,0,[0]
10,13,0,[0]
10,23,1,[0]
"('n_atak', ['21', '20', '18', '4', '2', '1', '22', '15', '7', '24', '19', '14', '8', '12', '11', '16', '10', '9', '6', '3', '0', '17', '13', '23'])"
11,18,0,[0]
11,22,1,[0]
11,21,1,[0]
11,9,0,[0]
11,15,0,[0]
11,24,1,[0]
11,10,0,[0]
11,12,0,[0]
11,8,0,[0]
11,13,0,[0]
11,6,0,[0]
11,1,0,[0]
11,23,1,[0]
11,17,0,[0]
11,11,0,[0]
11,20,1,[0]
11,2,0,[0]
11,3,0,[0]
11,19,0,[0]
11,7,0,[0]
11,4,0,[0]
11,0,0,[0]
11,14,0,[0]
11,16,0,[0]
"('n_atak', ['18', '22', '21', '9', '15', '24', '10', '12', '8', '13', '6', '1', '23', '17', '11', '20', '2', '3', '19', '7', '4', '0', '14', '16'])"
12,23,1,[0]
12,1,0,[0]
12,8,0,[0]
12,18,0,[0]
12,19,0,[0]
12,10,0,[0]
12,16,0,[0]
12,6,0,[0]
12,21,1,[0]
12,20,1,[0]
12,11,0,[0]
12,9,0,[0]
12,15,0,[0]
12,7,0,[0]
12,17,0,[0]
12,2,0,[0]
12,13,0,[0]
12,22,1,[0]
12,24,1,[0]
12,0,0,[0]
12,12,0,[0]
12,3,0,[0]
12,14,0,[0]
12,4,0,[0]
"('n_atak', ['23', '1', '8', '18', '19', '10', '16', '6', '21', '20', '11', '9', '15', '7', '17', '2', '13', '22', '24', '0', '12', '3', '14', '4'])"
13,9,0,[0]
13,22,1,[0]
13,24,1,[0]
13,18,0,[0]
13,13,0,[0]
13,17,0,[0]
13,10,0,[0]
13,19,0,[0]
13,12,0,[0]
13,3,0,[0]
13,2,0,[0]
13,0,0,[0]
13,8,0,[0]
13,15,0,[0]
13,4,0,[0]
13,16,0,[0]
13,7,0,[0]
13,20,1,[0]
13,21,1,[0]
13,23,1,[0]
13,1,0,[0]
13,11,0,[0]
13,14,0,[0]
13,6,0,[0]
"('n_atak', ['9', '22', '24', '18', '13', '17', '10', '19', '12', '3', '2', '0', '8', '15', '4', '16', '7', '20', '21', '23', '1', '11', '14', '6'])"
2,19,0,[0]
2,17,0,[0]
2,15,0,[0]
2,16,0,[0]
2,9,0,[0]
2,20,0,[0]
2,11,0,[0]
2,12,0,[0]
2,6,0,[0]
2,1,0,[0]
2,10,0,[0]
2,7,0,[0]
2,21,0,[0]
2,24,0,[0]
2,14,0,[0]
2,0,0,[0]
2,13,0,[0]
2,23,0,[0]
2,4,0,[0]
2,22,0,[0]
2,3,0,[0]
2,8,0,[0]
2,2,0,[0]
2,5,0,[0]
2,18,0,[0]
"('n_atak', ['19', '17', '15', '16', '9', '20', '11', '12', '6', '1', '10', '7', '21', '24', '14', '0', '13', '23', '4', '22', '3', '8', '2', '5', '18'])"
3,15,0,[0]
3,13,0,[0]
3,11,0,[0]
3,5,0,[1]
3,17,0,[0]
3,1,0,[0]
3,18,0,[0]
3,7,0,[0]
3,10,0,[0]
3,3,0,[0]
3,9,0,[0]
3,8,0,[0]
3,6,0,[0]
3,14,0,[0]
3,12,0,[0]
3,19,0,[0]
3,22,0,[0]
3,24,0,[0]
3,21,0,[0]
3,0,0,[0]
3,20,0,[0]
3,23,0,[0]
3,16,0,[0]
3,2,0,[0]
3,4,0,[0]
"('n_atak', ['15', '13', '11', '17', '1', '18', '7', '10', '3', '9', '8', '6', '14', '12', '19', '22', '24', '21', '0', '20', '23', '16', '2', '4'])","('atak', ['5'])"
4,10,0,[0]
4,15,0,[0]
4,6,0,[0]
4,8,0,[0]
4,24,0,[0]
4,9,0,[0]
4,19,0,[0]
4,4,0,[0]
4,20,0,[0]
4,0,0,[0]
4,11,0,[0]
4,1,0,[0]
4,22,0,[0]
4,3,0,[0]
4,16,0,[0]
4,14,0,[0]
4,7,0,[0]
4,18,0,[0]
4,12,0,[0]
4,23,0,[0]
4,21,0,[0]
4,13,0,[0]
4,17,0,[0]
4,2,0,[0]
"('n_atak', ['10', '15', '6', '8', '24', '9', '19', '4', '20', '0', '11', '1', '22', '3', '16', '14', '7', '18', '12', '23', '21', '13', '17', '2'])"
5,2,0,[0]
5,10,0,[0]
5,7,0,[0]
5,20,0,[0]
5,4,0,[0]
5,13,0,[0]
5,0,0,[0]
5,18,0,[0]
5,24,0,[0]
5,3,0,[0]
5,15,0,[0]
5,8,0,[0]
5,22,0,[0]
5,19,0,[0]
5,17,0,[0]
5,11,0,[0]
5,12,0,[0]
5,6,0,[0]
5,23,0,[0]
5,1,0,[0]
5,9,0,[0]
5,16,0,[0]
5,21,0,[0]
5,14,0,[0]
"('n_atak', ['2', '10', '7', '20', '4', '13', '0', '18', '24', '3', '15', '8', '22', '19', '17', '11', '12', '6', '23', '1', '9', '16', '21', '14'])"
6,24,1,[0]
6,0,0,[0]
6,3,0,[0]
6,22,1,[0]
6,20,1,[0]
6,21,1,[0]
6,23,1,[0]
6,16,0,[0]
6,10,0,[0]
6,18,0,[0]
6,19,0,[0]
6,1,0,[0]
6,11,0,[0]
6,7,0,[0]
6,12,0,[0]
6,8,0,[0]
6,6,0,[0]
6,4,0,[0]
6,14,0,[0]
6,17,0,[0]
6,15,0,[0]
6,2,0,[0]
6,13,0,[0]
6,9,0,[0]
"('n_atak', ['24', '0', '3', '22', '20', '21', '23', '16', '10', '18', '19', '1', '11', '7', '12', '8', '6', '4', '14', '17', '15', '2', '13', '9'])"
7,18,0,[0]
7,9,0,[0]
7,16,0,[0]
7,19,0,[0]
7,22,1,[0]
7,17,0,[0]
7,15,0,[0]
7,11,0,[0]
7,4,0,[0]
7,7,0,[0]
7,12,0,[0]
7,14,0,[0]
7,0,0,[0]
7,3,0,[0]
7,6,0,[0]
7,13,0,[0]
7,20,1,[0]
7,23,1,[0]
7,1,0,[0]
7,10,0,[0]
7,8,0,[0]
7,2,0,[0]
7,24,1,[0]
7,21,1,[0]
"('n_atak', ['18', '9', '16', '19', '22', '17', '15', '11', '4', '7', '12', '14', '0', '3', '6', '13', '20', '23', '1', '10', '8', '2', '24', '21'])"
8,7,0,[0]
8,10,0,[0]
8,9,0,[0]
8,3,0,[0]
8,1,0,[0]
8,23,1,[0]
8,20,1,[0]
8,21,1,[0]
8,12,0,[0]
8,22,1,[0]
8,16,0,[0]
8,19,0,[0]
8,2,0,[0]
8,4,0,[0]
8,14,0,[0]
8,8,0,[0]
8,6,0,[0]
8,11,0,[0]
8,24,1,[0]
8,18,0,[0]
8,15,0,[0]
8,13,0,[0]
8,17,0,[0]
8,0,0,[0]
"('n_atak', ['7', '10', '9', '3', '1', '23', '20', '21', '12', '22', '16', '19', '2', '4', '14', '8', '6', '11', '24', '18', '15', '13', '17', '0'])"
9,1,0,[0]
9,14,0,[0]
9,11,0,[0]
9,23,1,[0]
9,9,0,[0]
9,3,0,[0]
9,24,1,[0]
9,4,0,[0]
9,13,0,[0]
9,7,0,[0]
9,6,0,[0]
9,10,0,[0]
